,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Nadym,36,RU,1550869723,67,65.53,72.51,-15.11,4.74
375,Wairoa,92,NZ,1550869724,100,-39.04,177.43,67.2,9.1
376,Poum,75,MK,1550869725,80,41.28,20.71,35.6,1.95
377,Mirnyy,12,RU,1550869726,79,56.57,36.46,15.67,16.82
378,Filingue,0,NE,1550869728,19,14.35,3.32,75.39,9.66
379,Antalaha,56,MG,1550869732,89,-14.9,50.28,80.11,6.2
380,Aksu,0,KZ,1550869737,84,52.04,76.93,3.2,6.71
381,Prince Rupert,90,CA,1550869738,100,54.32,-130.32,37.4,8.05
382,Srednekolymsk,68,RU,1550869739,59,67.46,153.71,-20.92,3.74
383,Tessalit,0,ML,1550869741,21,20.2,1.01,62.02,11.01
384,Alyangula,0,AU,1550869742,94,-13.85,136.42,78.8,4.74
385,Bolshaya Glushitsa,36,RU,1550869743,81,50.24,43.59,9.87,7.54
386,Mogadishu,92,SO,1550869745,98,2.04,45.34,80.29,19.28
387,Kamogawa,75,JP,1550869746,61,35.13,140.08,46.4,20.8
388,Qazvin,0,IR,1550869747,69,36.28,50.01,33.8,2.24
389,Hami,0,CN,1550869748,59,42.84,93.51,13.56,0.94
390,Porbandar,24,IN,1550869750,80,21.64,69.61,68.68,11.45
391,Pangnirtung,20,CA,1550869752,74,66.15,-65.72,-25.61,6.2
392,Krasnoarmeysk,0,RU,1550869753,67,56.12,38.15,17.6,13.42
393,Redmond,90,US,1550869755,93,47.67,-122.12,42.8,11.41
394,Abu Dhabi,0,AE,1550869756,64,24.47,54.37,68.0,5.82
395,Eyl,92,SO,1550869758,98,7.98,49.82,75.75,16.15
396,Chernyshevskiy,80,RU,1550869759,81,63.01,112.47,7.39,4.18
397,Villanueva de Cordoba,0,ES,1550869764,76,38.32,-4.63,50.0,2.24
398,Osimo,20,IT,1550869766,87,43.49,13.48,44.6,3.36
399,Tayabo,8,PH,1550869767,92,15.83,121.03,58.96,1.72
400,Nioro,0,GM,1550869770,24,13.79,-15.05,84.43,11.01
401,Codrington,100,AU,1550869771,64,-28.95,153.24,71.6,19.46
402,Shahr-e Kord,0,IR,1550869772,57,32.33,50.85,23.0,4.7
403,Batticaloa,48,LK,1550869773,100,7.71,81.69,75.34,6.2
404,Jackson,90,US,1550869775,93,35.61,-88.82,53.6,4.7
405,Oranjemund,92,ZA,1550869776,90,-28.55,16.43,64.81,11.23
406,Salamiyah,92,SY,1550869777,96,35.01,37.05,41.91,2.62
407,Saint-Leu,0,RE,1550869779,78,-21.15,55.28,78.8,6.93
408,Griffith,0,AU,1550869781,63,-34.29,146.06,64.4,10.29
409,Kavaratti,0,IN,1550869782,100,10.57,72.64,82.99,5.53
410,Bintulu,90,MY,1550869784,100,3.17,113.03,77.0,2.24
411,Beyneu,0,KZ,1550869785,65,45.32,55.19,13.33,3.06
412,Mnogovershinnyy,0,RU,1550869786,58,53.94,139.92,-7.06,4.52
413,Kattivakkam,0,IN,1550869788,83,13.22,80.32,75.2,3.96
414,Nuevo Progreso,90,US,1550869789,93,26.05,-97.95,71.6,3.36
415,Borba,0,PT,1550869790,62,38.81,-7.46,59.0,6.93
416,Channel-Port aux Basques,68,CA,1550869791,100,47.57,-59.14,24.31,28.57
417,Muros,0,ES,1550869792,62,42.77,-9.06,59.0,5.82
418,Karlskoga,88,SE,1550869794,74,59.33,14.52,33.8,10.29
419,Catuday,76,PH,1550869795,98,16.29,119.81,76.2,4.74
420,Yibin,88,CN,1550869797,98,28.77,104.64,46.63,3.4
421,Wardha,20,IN,1550869798,50,20.75,78.6,78.8,2.24
422,Yuncheng,76,CN,1550869799,79,35.03,111.0,23.1,2.73
423,Monrovia,20,LR,1550869800,83,6.33,-10.8,80.6,10.67
424,Neuquen,40,AR,1550869802,32,-38.95,-68.06,82.4,4.7
425,Oga,48,NG,1550869806,66,8.18,5.65,80.97,7.99
426,Casablanca,0,MA,1550869808,45,33.6,-7.62,64.4,5.82
427,Mana,75,RS,1550869810,69,43.52,20.24,33.8,18.34
428,Yalvac,80,TR,1550869814,95,38.3,31.18,34.93,2.17
429,Gap,0,FR,1550869815,82,44.56,6.08,29.26,4.18
430,Mayumba,32,GA,1550869817,100,-3.44,10.65,79.44,9.22
431,Stykkisholmur,64,IS,1550869818,88,65.08,-22.73,41.46,27.67
432,Antofagasta,75,CL,1550869819,73,-23.65,-70.4,69.8,16.11
433,Southbridge,1,US,1550869820,41,42.08,-72.03,44.6,10.29
434,Raichur,0,IN,1550869822,56,16.2,77.36,71.83,6.08
435,Paamiut,68,GL,1550869824,100,61.99,-49.67,24.36,3.51
436,Weiser,1,US,1550869825,50,44.25,-116.97,33.8,8.05
437,Cassilandia,80,BR,1550869826,89,-19.11,-51.73,74.22,4.52
438,Vredendal,76,ZA,1550869828,89,-31.68,18.49,60.76,3.18
439,Soyo,76,AO,1550869829,95,-6.13,12.37,74.62,3.06
440,Morros,40,BR,1550869832,88,-2.87,-44.04,78.8,6.93
441,Saint Anthony,1,US,1550869833,61,43.97,-111.68,14.0,4.7
442,Rocha,68,UY,1550869834,50,-34.48,-54.34,87.49,5.53
443,Dabakala,0,CI,1550869836,44,8.36,-4.43,77.14,1.95
444,Shelburne,90,CA,1550869837,87,44.08,-80.2,33.8,2.24
445,Acurenam,68,GA,1550869839,96,1.03,10.67,69.13,2.17
446,Yatou,40,CM,1550869841,88,3.63,9.81,82.4,4.7
447,Mezen,36,RU,1550869842,83,65.85,44.24,14.59,6.98
448,Alofi,75,NU,1550869844,69,-19.06,-169.92,80.6,11.41
449,Chifeng,8,CN,1550869845,57,42.27,118.96,9.46,2.73
450,Moose Factory,40,CA,1550869846,72,51.26,-80.61,12.2,11.41
451,Dobele,0,LV,1550869848,92,56.63,23.28,17.6,2.24
452,Edson,90,CA,1550869849,63,53.59,-116.44,28.4,4.7
453,Vizinga,0,RU,1550869850,61,61.08,50.08,7.12,7.65
454,Petropavlovsk-Kamchatskiy,0,RU,1550869852,58,53.05,158.65,-4.01,13.42
455,Viedma,0,AR,1550869853,56,-40.81,-62.99,72.46,8.21
456,Hauterive,0,FR,1550869855,66,46.09,3.45,50.0,5.75
457,Suntar,80,RU,1550869856,77,62.16,117.65,1.81,5.08
458,Gat,8,SN,1550869857,34,14.69,-16.54,78.8,17.22
459,Vao,48,EE,1550869859,84,59.1,26.19,16.26,8.66
460,Airai,20,TL,1550869860,86,-8.93,125.41,67.42,1.05
461,Chiredzi,0,ZW,1550869862,72,-21.05,31.67,72.01,3.4
462,Kuching,75,MY,1550869872,94,1.56,110.34,77.0,5.08
463,Swellendam,0,ZA,1550869874,73,-34.02,20.44,71.6,9.17
464,Jalu,0,LY,1550869876,62,29.03,21.55,48.79,7.76
465,Tiksi,12,RU,1550869878,54,71.64,128.87,-19.16,10.78
466,Winneba,40,GH,1550869883,83,5.35,-0.62,84.2,14.99
467,Ukiah,1,US,1550869884,25,39.15,-123.21,50.0,3.36
468,Gobabis,32,NA,1550869886,33,-22.45,18.97,73.63,9.78
469,Margate,75,AU,1550869896,66,-43.03,147.26,55.4,16.11
470,Umm Lajj,0,SA,1550869897,100,25.02,37.27,58.87,8.43
471,Oudtshoorn,0,ZA,1550869898,93,-33.59,22.2,64.4,8.05
472,Moreira Sales,48,BR,1550869903,98,-24.05,-53.01,75.66,7.43
473,Santa Marta,40,CO,1550869904,41,11.24,-74.21,95.0,20.8
474,Port Macquarie,75,AU,1550869905,68,-31.43,152.91,69.8,17.22
475,Kijang,0,KR,1550869910,84,35.24,129.21,37.4,3.36
476,Nadlac,0,RO,1550869911,53,46.17,20.75,28.4,31.09
477,Cabadiangan,20,PH,1550869912,83,10.45,123.98,75.2,2.24
478,Great Malvern,1,GB,1550869914,100,52.11,-2.33,41.0,10.11
479,Prieska,12,ZA,1550869918,16,-29.67,22.74,79.62,10.22
480,Zabid,0,YE,1550869919,79,14.2,44.5,43.26,0.94
481,Bam,0,IR,1550869921,68,29.11,58.36,34.44,4.07
482,Beisfjord,75,NO,1550869922,100,68.38,17.6,41.0,24.16
483,Tocopilla,20,CL,1550869923,67,-22.09,-70.2,73.14,8.43
484,Kalmunai,88,LK,1550869934,94,7.42,81.82,70.26,3.62
485,Pappinisseri,0,IN,1550869935,33,11.94,75.34,75.57,6.08
486,Itirucu,76,BR,1550869937,70,-13.53,-40.15,81.06,8.77
487,Port Pirie,0,AU,1550869938,88,-33.18,138.01,64.4,9.17
488,Mega,8,ET,1550869948,42,4.06,38.32,69.27,8.43
489,Alta Floresta,75,BR,1550869950,94,-9.87,-56.08,77.0,14.99
490,Puerto Baquerizo Moreno,75,EC,1550869952,66,-0.9,-89.6,87.8,6.93
491,Pringsewu,48,ID,1550869954,95,-5.36,104.98,72.82,0.38
492,Lerwick,92,GB,1550869956,87,60.15,-1.15,51.8,12.75
493,Smithers,90,CA,1550869957,92,54.78,-127.17,23.0,2.39
494,Honiara,48,SB,1550869959,99,-9.43,159.96,75.39,2.73
495,Omboue,44,GA,1550869960,100,-1.57,9.26,83.08,8.21
496,Camargo,0,MX,1550869962,17,27.69,-105.17,72.51,14.81
497,Dar es Salaam,75,TZ,1550869963,83,-6.81,39.28,80.6,4.52
498,Careiro da Varzea,75,BR,1550869964,83,-3.2,-59.81,80.6,9.17
499,Nioki,24,CD,1550869965,92,-2.72,17.69,74.98,1.95
500,Leningradskiy,76,RU,1550869967,92,69.38,178.42,8.56,9.22
501,Huai Mek,64,TH,1550869971,73,16.59,103.24,75.2,2.24
502,Sabha,92,LY,1550869975,29,27.03,14.43,59.82,11.79
503,Mackenzie,75,CA,1550869976,67,55.34,-123.09,19.4,2.24
504,Iskateley,48,RU,1550869978,75,67.68,53.15,2.94,17.72
505,Leshukonskoye,76,RU,1550869982,86,64.9,45.76,10.54,5.19
506,Znamensk,0,RU,1550869983,63,54.62,21.23,26.6,8.95
507,Bowen,40,AU,1550869985,94,-20.01,148.25,75.2,5.82
508,Minab,20,IR,1550869986,77,27.15,57.07,62.6,2.24
509,Preobrazheniye,0,RU,1550869988,81,42.9,133.91,16.71,3.51
510,Sauda,24,NO,1550869991,100,59.65,6.35,28.86,2.17
511,Moussoro,24,TD,1550869993,21,13.64,16.49,73.86,9.78
512,Sistranda,75,NO,1550869994,87,63.73,8.83,44.6,10.29
513,Namie,75,JP,1550870000,69,37.52,140.86,35.6,4.7
514,Donetsk,68,UA,1550870001,83,48.02,37.8,18.42,8.1
515,Sao Jose da Coroa Grande,0,BR,1550870003,76,-8.9,-35.15,81.64,7.99
516,Pokhara,0,NP,1550870004,59,28.21,83.99,48.21,4.18
517,Geraldton,90,CA,1550870005,79,49.72,-86.95,26.6,12.75
518,Rio Gallegos,90,AR,1550870006,37,-51.62,-69.22,50.0,14.99
519,Cabedelo,20,BR,1550870008,74,-6.97,-34.84,84.2,9.17
520,Ambilobe,44,MG,1550870009,96,-13.19,49.05,72.46,2.95
521,Xinzhi,40,TW,1550870010,82,22.54,120.62,66.2,16.11
522,Imeni Poliny Osipenko,0,RU,1550870011,62,52.42,136.49,0.33,5.97
523,Mezhdurechensk,32,RU,1550870014,69,53.69,88.07,10.77,3.4
524,Tazovskiy,36,RU,1550870015,66,67.47,78.7,-14.62,8.66
525,Karratha,12,AU,1550870017,77,-20.74,116.85,75.12,3.06
526,Tigil,0,RU,1550870018,33,57.8,158.67,-23.35,2.73
527,Dunedin,20,NZ,1550870020,72,-45.87,170.5,53.07,4.41
528,Krasnobrodskiy,56,RU,1550870025,81,54.16,86.45,14.46,7.65
529,Buraydah,40,SA,1550870026,67,26.33,43.97,59.0,2.24
530,Luwuk,88,ID,1550870029,99,-0.95,122.79,78.22,2.06
531,Puerto Suarez,40,BO,1550870030,66,-18.96,-57.8,91.4,3.18
532,Canakkale,75,TR,1550870031,76,40.15,26.41,50.0,5.82
533,Shitanjing,0,CN,1550870033,55,39.23,106.34,5.77,1.16
534,Aragarcas,0,BR,1550870034,70,-15.9,-52.25,86.32,2.62
535,Katima Mulilo,76,NA,1550870035,54,-17.5,24.28,74.94,7.43
536,Noyabrsk,92,RU,1550870036,84,63.2,75.45,14.01,5.19
537,Kabin Buri,0,TH,1550870038,91,13.95,101.72,72.51,4.07
538,Ust-Kulom,0,RU,1550870039,64,61.69,53.69,5.91,6.98
539,Sinnamary,92,GF,1550870040,91,5.38,-52.96,79.93,9.55
540,Znamenskoye,32,RU,1550870042,78,57.13,73.82,14.59,7.99
541,Jiuquan,44,CN,1550870043,78,39.73,98.49,10.14,2.51
542,Cartagena del Chaira,36,CO,1550870044,92,1.33,-74.84,78.99,2.17
543,Bridlington,0,GB,1550870046,93,54.08,-0.19,50.0,6.93
544,Santa Maria del Oro,0,MX,1550870050,15,25.95,-105.37,61.89,17.05
545,Ballina,36,IE,1550870053,79,54.11,-9.15,53.29,27.78
546,Marsa Matruh,0,EG,1550870054,87,31.35,27.25,51.8,3.06
547,Shimoda,92,JP,1550870055,100,34.7,138.93,51.13,25.55
548,Bengbu,0,CN,1550870057,82,32.92,117.38,27.87,3.62
549,Genhe,0,CN,1550870058,61,50.78,121.52,7.26,7.2
550,Kayerkan,76,RU,1550870059,82,69.35,87.76,3.07,8.43
551,Mesyagutovo,8,RU,1550870060,85,55.53,58.24,22.96,12.57
552,Kawalu,12,ID,1550870062,93,-7.38,108.21,65.08,2.06
553,Vardo,5,US,1550870063,49,39.62,-77.74,46.4,3.4
554,Taitung,80,TW,1550870064,100,22.76,121.15,65.04,13.47
555,Nambucca Heads,40,AU,1550870066,72,-30.64,152.99,68.0,18.34
556,Porto Velho,40,BR,1550870067,69,-8.75,-63.87,82.4,3.36
557,Vanimo,76,PG,1550870068,100,-2.67,141.3,81.87,22.19
558,Smolensk,0,RU,1550870070,71,54.79,32.05,18.06,17.72
559,Progreso,40,UY,1550870071,62,-34.68,-56.22,86.0,10.29
560,Saint-Augustin,0,FR,1550870072,66,44.83,-0.61,48.2,2.24
561,Buin,0,CL,1550870074,39,-33.73,-70.74,84.2,12.75
562,Vega de Alatorre,0,MX,1550870075,61,20.03,-96.65,81.6,3.06
563,Avera,90,US,1550870076,82,33.19,-82.53,80.6,12.75
564,Kyshtovka,44,RU,1550870077,81,56.56,76.62,13.47,9.78
565,Kropotkin,76,RU,1550870079,91,45.43,40.58,36.73,6.2
566,Dong Xoai,68,VN,1550870080,83,11.53,106.92,72.87,4.41
567,Camacha,20,PT,1550870081,88,33.08,-16.33,64.4,9.17
568,Inuvik,5,CA,1550870082,76,68.36,-133.71,-4.01,2.24
569,Moyale,8,ET,1550870084,53,3.52,39.05,72.46,4.97
570,Arroyo,1,US,1550870085,44,41.39,-78.88,39.2,4.7
571,Weinan,68,CN,1550870086,92,34.5,109.46,26.6,2.24
572,Byron Bay,75,AU,1550870091,77,-28.65,153.62,71.6,14.99
573,Alice Town,0,BS,1550870092,98,25.72,-79.3,77.86,6.42
574,Boyle,48,IE,1550870094,76,53.97,-8.3,53.52,26.33
575,Batemans Bay,36,AU,1550870098,100,-35.71,150.18,60.31,5.08
576,Sainte-Marie,40,CA,1550870099,53,46.45,-71.03,26.6,13.87
577,Beian,75,NO,1550870102,87,63.66,9.57,44.6,10.29
578,Verkhnyaya Toyma,0,RU,1550870106,65,62.24,45.0,-0.44,2.95
579,Pushkinskiye Gory,0,RU,1550870108,78,57.02,28.91,9.28,6.64
580,Lamar,20,US,1550870112,55,38.09,-102.62,42.8,16.11
581,Novyy Urengoy,24,RU,1550870113,59,66.08,76.63,-12.46,8.21
